ref_hash,obj
8027109759910869730_st,161505.5807322023
3805512975348983658_st,109496.49107758906
706875581985023190_st,19418.823763634773
9201763056911976665_st,75.17608633098781
2070001883938629880_st,21192.88143960482
2956299000597738624_st,622.2860181316387
5051062186658844309_st,37066.526819318446
3729857814892336524_st,30736.9700378505
8048087799114816623_st,125960.89751758378
7988921706433140919_st,77316.21847200984
7222948339990737145_st,73403.65017946712
9034794874861599178_st,135311.25263666894
8295772099723661142_st,51472.20551325993
336603579893007540_st,64061.425684443246
6492734546432864221_st,53658.57966286436
6729385732095235866_st,28921.35648816616
467249413498649318_st,22118.181140371675
8642991606649401861_st,44221.1340713865
2390307749776378511_st,6556.774231692213
4770852901155905621_st,10774.91262833861
8662964806077446994_st,63922.08935908885
8217034726994891726_st,78715.47515822617
8914740412887409487_st,22165.24884326758
3978526261141842596_st,13998.520381324312
858453676907928111_st,118631.69869045919
1327834472616354686_st,15137.067108419718
315177544481427677_st,30437.873077253276
4183071889719323769_st,50679.756424789375
1000395625957344683_st,40741.77995987786
7459715895483226863_st,0.0
7402563033565121765_st,30348.6492052371
6064372897960920092_st,54511.07547835388
4629094532493683168_st,27659.46464645424
667533239969506203_st,8038.65176485646
618029225130486204_st,39748.029813985384
1999681247947819001_st,8305.186108160347
9073432755268117187_st,100986.50428738796
5082430696394071513_st,57442.06254443317
347083911900948648_st,123379.77140442102
7658747504785116170_st,46025.89130419618
3018757646247120874_st,39479.52587409425
2999364724812332308_st,85566.86972864125
4615149128385166445_st,49845.521615573285
5894618221318709826_st,39331.75838000185
7991392474384638480_st,49676.22478671787
1955897163099581903_st,21214.444362956652
5307405432134462055_st,90027.16738703045
1469891437001939430_st,33832.82674321738
185033006947686423_st,4989.89814942856
2198831234000117793_st,78376.81906622801
6895959913567262114_st,82204.42137185147
406841228494860789_st,63467.4735287541
795685232847742163_st,43686.56310789921
5759804797401172514_st,40333.05199667557
2132505332723959319_st,14256.297326157572
3556921612993667855_st,48920.254510873136
6293677054689363222_st,66293.927997576
2990586604853237710_st,21345.200371495546
2600012552740072798_st,85288.5273068984
2428359662880247269_st,36189.18276839454
8525106635736186873_st,23994.121955300267
2449950651537695705_st,72366.35548428167
4288216030847610921_st,165750.82904327332
9038317968225671868_st,29222.841251390408
82118746196199905_st,17738.348207238232
4641388018443257064_st,2.426609364304836
6559350555491664935_st,83060.39736448729
4920395655462524805_st,33833.438527317114
6726928391514800310_st,19241.789150722238
2600156590545197724_st,51084.81755726959
3957273306740562163_st,83668.7569224387
5985396981626217057_st,2894.255831046834
1056749944537419493_st,119446.9664467602
1114026657194419748_st,58523.35709308791
8149374718400055113_st,17553.900181444485
2191717514384366636_st,61503.91114612685
6781020342679131794_st,34806.79479542198
6820990875978056066_st,167158.53190967877
5761237967313921781_st,28954.77312713361
6709252311940447111_st,58550.04044719747
436282498668308737_st,47776.5487926688
361422772098233239_st,41274.194098290965
1003027494996471685_st,84311.02068828509
5315594811974766960_st,100725.93170784907
3139981846352991435_st,15460.891611288696
7116212585405457870_st,67495.47078468671
4456199606605809871_st,782.6272320141966
2862260576426339952_st,1617.8842825443255
3773881548707352606_st,32274.930429378794
5814579614199200422_st,1856.9308700885801
9001894065986101363_st,0.0
5352958510811119873_st,27109.02134668697
8044534941972811617_st,2382.238396942646
3639798228639837909_st,10962.43131007203
8635137897313503991_st,77683.2662230668
4849384041998756854_st,18271.127729169486
3996532636602616169_st,34867.275809064595
913887564240841195_st,43781.13946628135
8474058921159051893_st,8996.309668003161
1874642765722919357_st,22413.272784274708
5763640621519294788_st,52851.03642234737
1886537567420518716_st,37468.30872137225
6936324106981353885_st,93367.90697120446
683786577213410450_st,15249.758728256304
4685117029221764613_st,56128.70708724418
8531324514459819207_st,68163.49529782361
58139175353219079_st,34879.80270527569
5443348548422763228_st,23169.610074736855
2441873268219756101_st,19029.398267246946
3643731329016505380_st,17192.919512181674
8927706867066311299_st,430.2073506559155
7971366330151980742_st,71810.3306794662
8577985661611349824_st,134139.88448089463
2942429951308274606_st,176577.96097674224
471497500278892373_st,44453.955886591306
2495130409733646210_st,45528.95879078241
8948245673671248473_st,166602.59811192667
8449366430078620894_st,37851.446975938445
3502302859541931419_st,71417.8825304884
5975076350411708058_st,14769.997558497224
4244577585957873431_st,42901.26391165895
8076996894280660332_st,25843.177390157492
5754867070988404875_st,43672.24896639011
7150041426464445025_st,13333.293156079704
7758191501514935576_st,34158.64935282731
3542126796757146446_st,31081.376117734984
1102680423242413676_st,28657.44406523531
7245557884784228406_st,26600.20310542452
8925520993092852662_st,74477.64706068284
55033155735608810_st,1963.958344484611
3047046662433111751_st,97009.5717696992
1410718164519785502_st,53521.39053751238
3459290729524206642_st,0.0
4958058886534967042_st,20936.643036388545
860465108954041921_st,71500.20301929384
3527488242598467551_st,0.0
6281830069697421911_st,111736.70465561238
3407630960676694769_st,47053.47002385091
220777279912362389_st,41807.882686259014
5545507071142047232_st,13802.33261173026
1632976817520709726_st,0.0
1458575463379897371_st,24069.82792693422
109389620877102250_st,38284.167866758704
3143211942143826950_st,41095.38790238029
8824254077441762071_st,75326.29496883962
9061561356393668084_st,127021.74555701685
854048099916877266_st,84519.43770662106
9013983919653566692_st,144147.00243719347
236123233858951515_st,125231.36003184984
1811128871539049095_st,96490.36531656302
213625769935902084_st,2218.8523675440033
5252972378165748188_st,26932.071360598893
2116146625751268539_st,28992.68396224756
2454316515724968610_st,26892.052735442412
1114323564105303141_st,28508.374586166126
934102789941509295_st,9128.012886226252
2389560745095563012_st,14498.869208759183
8385426170251972079_st,38928.72347765044
453203629398105734_st,49822.073888203755
7497454661911394944_st,35688.30661124217
7423668282042079537_st,169724.83607794935
571264229455029355_st,11863.914949876156
4227053019808209657_st,1428.6184077045282
2607326790428176337_st,102400.36523694178
7671517233607146011_st,100939.94253530349
6581660590486068258_st,27770.813326690604
4822733031198197756_st,13525.14950536392
1479681329485066994_st,4026.4445825820653
1156694545460335017_st,38007.438675160374
2823877798610043622_st,5541.646023084618
1595181852111961835_st,86103.79125814121
2596462906938170152_st,11439.712444851943
2884092902426316552_st,48162.263966603925
48916179963640686_st,37516.104007014976
2366506135062062000_st,49168.50456328888
3181505027806716064_st,81395.03446080249
413228338353132103_st,95602.43791535503
1929912659822471056_st,66679.883975116
4806588492380642099_st,66232.81272758693
477611943993333341_st,52587.65287563543
625748796078289051_st,15051.554032643506
6901021457501512026_st,118646.62146829274
1697296672196475600_st,36174.143069310536
5211810355146264139_st,136985.83711942963
9196946062251474005_st,55433.05171411949
8862307144603500967_st,26078.931674080486
335199347257740754_st,96711.11588941453
6166393000085135728_st,36353.10814126537
7590407397806615221_st,36406.36263430953
1387114378850828264_st,40243.021148402535
2556661701287459898_st,109245.19951159711
4077477073284820562_st,59382.24793087159
5585380022769246219_st,29558.822276403218
2890660588205739801_st,5888.976451922035
9050745399489855227_st,53855.832257614304
4616026779923290255_st,60653.81866435512
2613912949123876893_st,36143.37665527713
3644331323830049912_st,16788.792165382103
8787766222237811662_st,3056.7583257754495
8939252645686464624_st,88850.89556288836
7212933487681170384_st,7821.426158305144
6875840406179237964_st,59954.96836406138
4124688304508995765_st,65659.90217613107
2376199265523442491_st,48265.73830822841
1098698655660153317_st,15438.253417085083
3074723869085034559_st,12859.714976727648
3745570378777826616_st,36776.39756871928
6277284666009306330_st,38915.61569327895
2545884686963074735_st,38004.59816648286
5381721025385321185_st,57885.122003101955
8022358717656257258_st,35636.1706671252
7273634465143763297_st,39012.46708129337
4018471408674472013_st,64792.69965674972
1037575899869926_st,62769.29118882449
3925031172672067658_st,70503.75280467013
1337817839840024265_st,85862.70286253862
529957280949946515_st,21855.861655714423
7070767558644051618_st,65936.78449184306
4351379110783021605_st,21100.957740848815
5035626110860124948_st,18611.155537498496
7016307618431699918_st,118919.93534390167
3339062821873653335_st,59600.66069566542
8182196037912808202_st,56250.823921516974
4930339542874672704_st,164905.88085610533
2901287113933569945_st,16540.445498959634
6474262616990954928_st,54633.77870033635
7457655175746412952_st,162123.05618662736
3105234994427757369_st,55296.67090460543
4415185892649136610_st,67565.5626433662
1204574205636847942_st,30011.001758821858
8054625086358785438_st,79694.53711643463
8072006228978795423_st,41639.431001797966
3630938621218067691_st,18281.883500119286
1656202871077543672_st,72753.7030357547
2135026258383174268_st,73437.58601170946
8620800233637562034_st,101509.24306021145
713605975453923031_st,72525.0072233934
5738409948118569178_st,46755.08701596064
6953294564861047729_st,4636.287230963883
5009690184446450567_st,20833.84668941237
2321950640201570250_st,42545.097555476736
444779618363690644_st,2580.7977662008784
